Name,Category,City,Country,Location,Overview,URL Link
The Way Out Gladstone,Fun & Games,Gladstone,Australia,"93 Goondoon St, Gladstone, Queensland 4680, Australia","The Way Out Gladstone is Gladstone's First Real Life Escape Game. Operating from the start of 2019, a locally owned and operated family business looking to bring something unique to the region. Your team of 2 to 6 players are 'locked' in the study Suggested duration: 1-2 hours",https://www.tripadvisor.com.my/Attraction_Review-g255336-d16659607-Reviews-The_Way_Out_Gladstone-Gladstone_Queensland.html
M.V. Mikat Cruises,Boat Tours & Water Sports,Gladstone,Australia,"Gladstone, Australia","MV Mikat is a purpose built 20 M Power Cat which takes Teams of up to 12 Fisherman to the World renowned Swain Reefs on 7 day Charters targeting the Infamous Coral Trout , Red Emperor , RTE , Cod , Tusk and a wide variety of Freight Train Pelagics . THE pound for pound Best Great Barrier Reef Fishing Charter on the east Coast of Australia . ",https://www.tripadvisor.com.my/Attraction_Review-g255336-d3315462-Reviews-M_V_Mikat_Cruises-Gladstone_Queensland.html
Hmas Gladstone,Boat Tours & Water Sports,Gladstone,Australia,"Gladstone, Australia","Guided tours of the ex-RAN HMAS Gladstone. Perched above the water in her permanent dock at East Shores, the boat comes alive with stories of how the sailors lived and worked on the ship. This museum ship from the Fremantle Class Patrol Boats has a fascinating history. Come and meet Oscar! Required - Shoes with a heel strap as a minimum - no thongs. ",https://www.tripadvisor.com.my/Attraction_Review-g255336-d12293175-Reviews-HMAS_Gladstone-Gladstone_Queensland.html
Gladstone Cbd Tours Coffee Cruise,Boat Tours & Water Sports,Gladstone,Australia,"Gladstone, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d3214716-Reviews-Gladstone_CBD_Tours_Coffee_Cruise-Gladstone_Queensland.html
Gladstone Maritime Museum,Museums,Gladstone,Australia,"1 Francis Ward Dr, Gladstone, Queensland 4680, Australia",Closed todayHours Today: ClosedSee all hoursSuggested duration: < 1 hour,https://www.tripadvisor.com.my/Attraction_Review-g255336-d12870492-Reviews-Gladstone_Maritime_Museum-Gladstone_Queensland.html
Gladstone Cinemas,Fun & Games,Gladstone,Australia,"Gladstone Central Shopping Cen Shop 61 71-77 Dawson Rd | Upper carpark entrance, Gladstone, Queensland 4680, Australia",Open NowHours Today: 9:00 AM - 9:30 PMSee all hoursSuggested duration: 2-3 hours,https://www.tripadvisor.com.my/Attraction_Review-g255336-d9861105-Reviews-Gladstone_Cinemas-Gladstone_Queensland.html
Gladstone Tennis & Squash Club,Fun & Games,Gladstone,Australia,"104 Glenlyon St | At the cross of Glenlyon and Tank Street, Gladstone, Queensland 4680, Australia",Suggested duration: 1-2 hours,https://www.tripadvisor.com.my/Attraction_Review-g255336-d7940270-Reviews-Gladstone_Tennis_Squash_Club-Gladstone_Queensland.html
Curtis Ferry Services,Boat Tours & Water Sports,Gladstone,Australia,"Gladstone, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d7144366-Reviews-Curtis_Ferry_Services-Gladstone_Queensland.html
Mieplace Nightclub,Nightlife,Gladstone,Australia,"6 Goondoon, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d10160867-Reviews-MIePLACE_Nightclub-Gladstone_Queensland.html
East Shores Water Park,Fun & Games,Gladstone,Australia,"Flinders Parade, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d7815545-Reviews-East_Shores_Water_Park-Gladstone_Queensland.html
Grand Hotel Gladstone,Nightlife,Gladstone,Australia,"79 Goondoon St, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d5994487-Reviews-Grand_Hotel_Gladstone-Gladstone_Queensland.html
Queens Hotel Motel Gladstone,Nightlife,Gladstone,Australia,"125 Goondoon St, Gladstone, Queensland 4680, Australia","Located in the CBD of Gladstone City Queens Hotel Motel has 28 motel accommodation rooms, bar, bistro, conference room and gaming room. Open everyday for quality food and cold drinks. The Queens Hotel Motel also provides a family friendly ",https://www.tripadvisor.com.my/Attraction_Review-g255336-d5991125-Reviews-Queens_Hotel_Motel_Gladstone-Gladstone_Queensland.html
Stockland Gladstone Shopping Centre,Shopping,Gladstone,Australia,"Cnr Dawson Highway & Philip St, Gladstone, Queensland 4680, Australia","Located on the corner of the Dawson Highway and Philip St, Stockland Gladstone is the only major shopping centre in the region. Featuring Coles, Woolworths, Kmart, Big W , Priceline Pharmacy, Reject Shop and 47 specialty stores with over 1,300 Suggested duration: 1-2 hours",https://www.tripadvisor.com.my/Attraction_Review-g255336-d13816592-Reviews-Stockland_Gladstone_Shopping_Centre-Gladstone_Queensland.html
Transfortmation Church,Sights & Landmarks,Gladstone,Australia,"65 Tank St, Gladstone, Queensland 4680, Australia",Suggested duration: 1-2 hours,https://www.tripadvisor.com.my/Attraction_Review-g255336-d14074099-Reviews-Transfortmation_Church-Gladstone_Queensland.html
The Old Gladstone Post Office,Sights & Landmarks,Gladstone,Australia,"33 Goondoon St, Gladstone, Queensland 4680, Australia",Suggested duration: < 1 hour,https://www.tripadvisor.com.my/Attraction_Review-g255336-d16726649-Reviews-The_Old_Gladstone_Post_Office-Gladstone_Queensland.html
Lightbox Espresso  Wine Bar,Nightlife,Gladstone,Australia,"56 Goondoon St, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d7376596-Reviews-Lightbox_Espresso_Wine_Bar-Gladstone_Queensland.html
Gladstone Entertainment Convention Centre,Traveller Resources,Gladstone,Australia,"58 Goondoon St, Gladstone, Queensland 4680, Australia","The Gladstone Entertainment Convention Centre is one of regional Queensland's premier entertainment venues, attracting new entertainment and events never before seen in the region. The facilities within the centre are well-equipped to host Suggested duration: 2-3 hours",https://www.tripadvisor.com.my/Attraction_Review-g255336-d10906726-Reviews-Gladstone_Entertainment_Convention_Centre-Gladstone_Queensland.html
Round Hill Lookout,Sights & Landmarks,Gladstone,Australia,"Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d14038808-Reviews-Round_Hill_Lookout-Gladstone_Queensland.html
Gladstone Regional Art Gallery & Museum,Shopping,Gladstone,Australia,"136-144 Goondoon St, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d10198094-Reviews-Gladstone_Regional_Art_Gallery_Museum-Gladstone_Queensland.html
Gladstone Visitor Information Centre,Traveller Resources,Gladstone,Australia,"72 Bryan Jordon Drive | Marina Ferry Terminal, Gladstone, Queensland 4680, Australia",LOOKING FOR SOMETHING TO DO IN THE GLADSTONE REGION? 1. Check out the Islands of Southern Great Barrier Reef. 2. Head out to Lake Awoonga and try you luck with catching a Barra! 3. Take a scenic 4WD trip through Kroombit Tops National Park. 4. Take Open NowHours Today: 8:30 AM - 4:30 PMSee all hoursSuggested duration: < 1 hour,https://www.tripadvisor.com.my/Attraction_Review-g255336-d8390956-Reviews-Gladstone_Visitor_Information_Centre-Gladstone_Queensland.html
Auckland Hill Lookout,Sights & Landmarks,Gladstone,Australia,"Bishops Drive, Gladstone, Queensland 4680, Australia",Open NowHours Today: 12:00 AM - 11:59 PMSee all hoursSuggested duration: < 1 hour,https://www.tripadvisor.com.my/Attraction_Review-g255336-d12387081-Reviews-Auckland_Hill_Lookout-Gladstone_Queensland.html
Endota Spa Gladstone,Spas & Wellness,Gladstone,Australia,"45 Dawson Highway | Shop 42 (upstairs), Gladstone Central Shopping Centre, Gladstone, Queensland 4680, Australia","At endota spa, we focus on helping you reconnect with your best self through physical and emotional replenishment. We deliver a range of services including relaxation, pregnancy & remedial massage, facials and beauty & body treatments.Open NowHours Today: 9:00 AM - 6:00 PMSee all hoursSuggested duration: 1-2 hours",https://www.tripadvisor.com.my/Attraction_Review-g255336-d12833470-Reviews-Endota_spa_Gladstone-Gladstone_Queensland.html
Gladstone Turf Club,Casinos & Gambling,Gladstone,Australia,"Dawson Highway | Corner Dawson Highway and Blain Drive, Gladstone, Queensland 4680, Australia","With 9 race meetings a year you're sure to have a great day out at the track. All ages welcome and including an on site bar, canteen as well as undercover and large lawn area for patronsSuggested duration: More than 3 hours",https://www.tripadvisor.com.my/Attraction_Review-g255336-d10055808-Reviews-Gladstone_Turf_Club-Gladstone_Queensland.html
Waurn Ponds Shopping Centre,Shopping,Waurn Ponds,Australia,"Waurn Ponds Shopping Centre 173-199 Pioneer Rd, Waurn Ponds, Victoria 3216, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g2671384-d7376530-Reviews-Waurn_Ponds_Shopping_Centre-Waurn_Ponds_Victoria.html
Gecko Valley Winery,Food & Drink,Gladstone,Australia,"700 Glenlyon Road, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d7265377-Reviews-Gecko_Valley_Winery-Gladstone_Queensland.html
Be Pampered Skin & Beauty,Spas & Wellness,Gladstone,Australia,"Shop 11 172 Goondoon St | Palms Shopping Fair, Gladstone, Queensland 4680, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g255336-d9998022-Reviews-Be_Pampered_Skin_Beauty-Gladstone_Queensland.html
Stewart Reserve,Nature & Parks,Waurn Ponds,Australia,"Stewarts Rd, Waurn Ponds, Victoria, Australia",,https://www.tripadvisor.com.my/Attraction_Review-g2671384-d13340324-Reviews-Stewart_Reserve-Waurn_Ponds_Victoria.html
Leisurelink Aquatic And Recreation Centre,Water & Amusement Parks,Waurn Ponds,Australia,"240 Pioneer Road Grovedale | Adjacent to the Princes Highway, Waurn Ponds, Victoria 3216, Australia",Suggested duration: More than 3 hours,https://www.tripadvisor.com.my/Attraction_Review-g2671384-d12354765-Reviews-Leisurelink_Aquatic_and_Recreation_Centre-Waurn_Ponds_Victoria.html
Mt Duneed Estate,Food & Drink,Waurn Ponds,Australia,"65 Pettavel Rd, Waurn Ponds, Victoria 3216, Australia",Closed todayHours Today: ClosedSee all hours,https://www.tripadvisor.com.my/Attraction_Review-g2671384-d7208953-Reviews-Mt_Duneed_Estate-Waurn_Ponds_Victoria.html
